product_type,region,line_speed,workers_active,energy_usage,waste_amount,package_weight_avg,machine_vibration,disruption_flag
Apple,West,11.52455760385453,34,498.2577862936055,5.754229774216253,1.9180968379873062,2.16885648597571,0
Carrot,East,7.242327449567847,16,308.67218428458193,1.705291236290065,1.4045562503189801,6.899069504212033,0
Apple,North,18.066595816503433,23,625.5583677956315,5.682566497451468,2.017181052532602,2.12824745631815,0
Potato,South,8.711516889278416,24,231.79512513184864,6.084333434061539,1.9485531150761695,5.097129709766187,0
Cucumber,North,13.638210715650507,22,342.0033101578193,5.337405879751708,1.72907354851672,2.6433319125159076,0
Apple,North,37.85353336009705,28,324.3510118734772,6.54123147984542,1.9825617042904582,4.765429885590958,0
Cucumber,West,24.288723477268505,30,552.7793223561426,9.358524018483438,1.9430222383899836,3.0494371865111094,0
Potato,North,14.534161721332229,26,312.76245189829035,3.8653459668357577,1.9658944480246796,1.2978901728021062,0
Potato,South,16.062512104816904,22,449.55010935471716,1.1593003033635623,1.7632281201439095,2.6003324286201854,0
Tomato,North,23.770716955580077,24,468.4671598881058,2.5258186389932136,2.5762322653151277,4.130378748879593,0
Potato,West,16.07471976610116,24,350.03172239535263,6.173899565380882,1.627509355089543,2.4629663237277,1
Potato,West,10.860511795572904,21,820.2326019575114,2.6265114178440685,1.972109526771437,10.009969548076542,0
Tomato,West,21.712637836470353,28,321.23293270199997,3.0925918804182557,2.3904934511240743,2.257746442984101,0
Tomato,East,25.544549493555863,27,361.52256988203123,4.648757362679961,1.94078089484684,3.9908354302903732,0
Potato,North,22.659688492350043,20,339.6711505219761,3.744458784649701,2.0829310909483634,3.0059683841716858,0
Cucumber,East,39.033144767942034,34,436.8481946506037,5.109521602405365,2.179552460720533,1.083308772043675,0
Carrot,East,9.513124865871381,27,309.4106468004706,1.7443006956806015,1.8681626036429424,4.327660778509227,1
Tomato,South,25.997084186926635,30,391.8296137604999,4.264433917967535,1.684089946272818,3.375060534866151,1
Tomato,North,15.651163828942192,24,245.9871421437863,7.503773414888148,2.0863232774073803,2.7188121073255673,0
Carrot,North,17.223942336325397,17,366.3659575004157,0.7155276250169023,2.0697781434185476,4.985648584796355,1
Potato,East,8.99688581650979,22,386.76639364969753,2.015126343373712,2.115238825628032,5.506453418669975,1
Cucumber,East,43.563445968195616,33,1298.6135348131327,10.737091178378684,2.109635193141972,3.9944838572790045,1
Apple,East,28.484455623803314,30,454.68320181096766,8.22037405242101,1.9704205556312295,3.371142623118935,0
Carrot,West,26.733470315333893,32,396.4892588846786,8.098309555728019,2.60132666923374,1.9252165310204847,0
Apple,North,11.728695388816643,16,530.751265495877,7.00559894130232,2.2409380117265973,1.439771101049729,0
